term,label
tummy aches,abdominal_pain
abdominal pain,abdominal_pain
soreness in abdomen,abdominal_pain
abdomen pain,abdominal_pain
abdominal pains,abdominal_pain
abdominal aches,abdominal_pain
tummy ache,abdominal_pain
abdominal ache,abdominal_pain
pain in abdomens,abdominal_pain
ache in abdomens,abdominal_pain
pain in abdomen,abdominal_pain
soreness in abdomens,abdominal_pain
irregular period,abnormal_menstruation
abnormal menstruations,abnormal_menstruation
irregular cycles,abnormal_menstruation
irregular cycle,abnormal_menstruation
unusual periods,abnormal_menstruation
abnormal menstruation,abnormal_menstruation
missed periods,abnormal_menstruation
unusual periodses,abnormal_menstruation
irregular periods,abnormal_menstruation
period problems,abnormal_menstruation
irregular menstruations,abnormal_menstruation
disturbed menstruation,abnormal_menstruation
acidic stomaches,acidity
sour stomaches,acidity
heartburns,acidity
acid burns,acidity
stomach acid,acidity
acid reflux,acidity
acidic stomach,acidity
acid problems,acidity
reflux acidities,acidity
sour stomach,acidity
reflux acidity,acidity
stomach acids,acidity
sudden liver failure,acute_liver_failure
fulminant hepatic failures,acute_liver_failure
liver shutting down,acute_liver_failure
liver failure acutes,acute_liver_failure
rapid liver failures,acute_liver_failure
acute hepatic failures,acute_liver_failure
acute liver failures,acute_liver_failure
rapid liver failure,acute_liver_failure
acute liver failure,acute_liver_failure
liver failure acute,acute_liver_failure
severe liver failure,acute_liver_failure
liver shutting downs,acute_liver_failure
disoriented,altered_sensorium
altered mental status,altered_sensorium
confusion,altered_sensorium
altered sensoriums,altered_sensorium
out of its,altered_sensorium
confused states,altered_sensorium
out of it,altered_sensorium
confused state,altered_sensorium
confusions,altered_sensorium
altered mental statuses,altered_sensorium
not fully consciouses,altered_sensorium
clouded sensorium,altered_sensorium
feeling anxiouses,anxiety
feelin on edge,anxiety
anxiouses,anxiety
feelin anxious,anxiety
nervousness,anxiety
anxiety attacks,anxiety
anxieties,anxiety
feeling nervouses,anxiety
feelin nervous,anxiety
feeling on edge,anxiety
worried and tense,anxiety
feeling anxious,anxiety
pain in back,back_pain
soreness in back,back_pain
back aches,back_pain
back hurtses,back_pain
soreness in backs,back_pain
pain in backs,back_pain
ache in backs,back_pain
back ache,back_pain
sore backs,back_pain
sore back,back_pain
back pains,back_pain
painful back,back_pain
painful belly,belly_pain
tummy pain,belly_pain
painful bellies,belly_pain
belly pains,belly_pain
tummy pains,belly_pain
pain in belly,belly_pain
pain in bellies,belly_pain
belly aches,belly_pain
ache in bellies,belly_pain
ache in belly,belly_pain
black-heads,blackheads
blackheadses,blackheads
black spots on nose,blackheads
blackheads,blackheads
black headses,blackheads
black pores,blackheads
black-headses,blackheads
black dots on skins,blackheads
black dots on skin,blackheads
black spots on noses,blackheads
clogged pores black,blackheads
black poreses,blackheads
bladder soreness,bladder_discomfort
bladder sorenesses,bladder_discomfort
painful bladders,bladder_discomfort
bladder discomfort,bladder_discomfort
painful bladder,bladder_discomfort
ache over bladders,bladder_discomfort
bladder discomforts,bladder_discomfort
pressure over bladders,bladder_discomfort
bladder pain,bladder_discomfort
suprapubic pain,bladder_discomfort
suprapubic pains,bladder_discomfort
bladder pressure,bladder_discomfort
blisters,blister
water blisters,blister
fluid filled blister,blister
raised blisters,blister
fluid filled blisters,blister
skin blisters,blister
bubble on skin,blister
water blister,blister
raised blister,blister
blistered skins,blister
blister,blister
blistered skin,blister
blood in phlegm,blood_in_sputum
blood in phlegms,blood_in_sputum
hemoptysis,blood_in_sputum
coughing up blood,blood_in_sputum
blood when I cough,blood_in_sputum
bloody sputums,blood_in_sputum
blood in sputums,blood_in_sputum
blood with mucuses,blood_in_sputum
blood in sputum,blood_in_sputum
hemoptysises,blood_in_sputum
coughin up blood,blood_in_sputum
blood in spit,blood_in_sputum
blood when poopin,bloody_stool
blood when pooping,bloody_stool
blood in poops,bloody_stool
blood in poop,bloody_stool
blood in bowel movements,bloody_stool
blood with bowel movements,bloody_stool
blood with bowel movement,bloody_stool
rectal bleeding,bloody_stool
rectal bleedin,bloody_stool
blood in bowel movement,bloody_stool
bloody stools,bloody_stool
bloody stool,bloody_stool
blurry visions,blurred_and_distorted_vision
vision distortion,blurred_and_distorted_vision
blurry & distorted vision,blurred_and_distorted_vision
distorted visions,blurred_and_distorted_vision
vision is blurred,blurred_and_distorted_vision
blurred and distorted vision,blurred_and_distorted_vision
blurry eyesight,blurred_and_distorted_vision
blurry and distorted vision,blurred_and_distorted_vision
vision out of focuses,blurred_and_distorted_vision
vision is blurreds,blurred_and_distorted_vision
blurry and distorted visions,blurred_and_distorted_vision
blurred and distorted visions,blurred_and_distorted_vision
difficulty breathin,breathlessness
shortness of breath,breathlessness
shortness of breaths,breathlessness
short of breath,breathlessness
trouble breathings,breathlessness
breathlessness,breathlessness
out of breath,breathlessness
short of breaths,breathlessness
difficulty breathing,breathlessness
difficulty breathings,breathlessness
trouble breathin,breathlessness
breathing is difficult,breathlessness
brittle fingernailses,brittle_nails
nails chip easily,brittle_nails
nails breakings,brittle_nails
thin brittle nails,brittle_nails
fragile nailses,brittle_nails
easily broken nailses,brittle_nails
weak nailses,brittle_nails
nails breaking,brittle_nails
brittle nailses,brittle_nails
weak nails,brittle_nails
nails chip easilies,brittle_nails
thin brittle nailses,brittle_nails
black and blue marks,bruising
bruise easilies,bruising
easy bruisin,bruising
easy bruising,bruising
unexplained bruises,bruising
purple markses,bruising
skin bruises,bruising
bruise easily,bruising
bruising,bruising
skin bruiseses,bruising
black and blue markses,bruising
bruisings,bruising
burns to pees,burning_micturition
dysuria,burning_micturition
burnin while urinatin,burning_micturition
stinging when peeing,burning_micturition
burning urination,burning_micturition
burning while urinating,burning_micturition
painful urinations,burning_micturition
stinging when peeings,burning_micturition
burning when peeing,burning_micturition
it burns when i pee,burning_micturition
burning while urinatings,burning_micturition
burns to pee,burning_micturition
burning chest,burning_chest
Pyrosis,burning_chest
burning sensation in my chest,burning_chest
acid burn in the chest,burning_chest
acid reflux,burning_chest
burning in my chest,burning_chest
chest burning,burning_chest
chest is burning,burning_chest
painful chest,chest_pain
chest hurtses,chest_pain
chest pain,chest_pain
sore chest,chest_pain
ache in chests,chest_pain
pain in chests,chest_pain
ache in chest,chest_pain
chest hurts,chest_pain
painful chests,chest_pain
soreness in chest,chest_pain
chest ache,chest_pain
sore chests,chest_pain
chillses,chills
feeling chillses,chills
cold shiverses,chills
shakin chills,chills
chills,chills
feeling very cold,chills
rigorses,chills
feeling chills,chills
feeling very colds,chills
chillinesses,chills
feelin chills,chills
cold chills,chills
cold hands and foot,cold_hands_and_feets
cold hands & feet,cold_hands_and_feets
very cold hands and feet,cold_hands_and_feets
cold fingers & toes,cold_hands_and_feets
cold hands and foots,cold_hands_and_feets
cold hands and feet,cold_hands_and_feets
hands and feet feel colds,cold_hands_and_feets
cold hands and feets,cold_hands_and_feets
hands & feet feel cold,cold_hands_and_feets
cold hands & feets,cold_hands_and_feets
cold extremitieses,cold_hands_and_feets
cold fingers and toes,cold_hands_and_feets
deeply unconsciouses,coma
not waking ups,coma
not waking up,coma
comatose,coma
unresponsives,coma
coma states,coma
comatoses,coma
not wakin up,coma
comas,coma
unconscious for longs,coma
coma,coma
in a coma,coma
congested nose,congestion
congested noses,congestion
nose congestions,congestion
stopped up noses,congestion
stuffy sinuses,congestion
sinus congestions,congestion
stuffy noses,congestion
nasal congestions,congestion
stuffy nose,congestion
blocked noses,congestion
nose congestion,congestion
nasal congestion,congestion
infrequent stoolses,constipation
constipations,constipation
constipation,constipation
no bowel movements,constipation
stool is hards,constipation
straining to poop,constipation
infrequent stools,constipation
constipated,constipation
difficulty passing stools,constipation
straining to poops,constipation
stool is hard,constipation
difficulty passin stool,constipation
need to pee all the time,continuous_feel_of_urine
constant urge to urinate,continuous_feel_of_urine
keep feeling to pees,continuous_feel_of_urine
always feel like urinating,continuous_feel_of_urine
need to pee all the times,continuous_feel_of_urine
feel like peein constantly,continuous_feel_of_urine
always feel like urinatin,continuous_feel_of_urine
urge to urinate all the times,continuous_feel_of_urine
keep feeling to pee,continuous_feel_of_urine
constant urge to urinates,continuous_feel_of_urine
feel like peeing constantly,continuous_feel_of_urine
urge to urinate all the time,continuous_feel_of_urine
lots of sneezing,continuous_sneezing
constant sneezing,continuous_sneezing
lots of sneezings,continuous_sneezing
repeated sneezes,continuous_sneezing
continuous sneezing,continuous_sneezing
sneeze again and again,continuous_sneezing
constant sneezings,continuous_sneezing
sneeze again & again,continuous_sneezing
lots of sneezin,continuous_sneezing
sneezing non stops,continuous_sneezing
sneezing a lot,continuous_sneezing
sneezin a lot,continuous_sneezing
persistent coughs,cough
bad cough,cough
wet coughs,cough
cough a lot,cough
dry coughs,cough
wet cough,cough
coughin,cough
hackin cough,cough
hacking cough,cough
cough,cough
bad coughs,cough
cuff,cough
persistent cough,cough
muscle cramps,cramps
muscle crampses,cramps
spasms,cramps
stomach cramps,cramps
crampses,cramps
crampings,cramps
crampin pain,cramps
cramp painses,cramps
stomach crampses,cramps
crampy pains,cramps
crampy pain,cramps
cramping pains,cramps
cola colored urines,dark_urine
tea coloured urine,dark_urine
urine looks darks,dark_urine
cola coloured urine,dark_urine
dark pees,dark_urine
dark yellow urine,dark_urine
tea colored urine,dark_urine
tea coloured urines,dark_urine
dark yellow urines,dark_urine
brown urines,dark_urine
cola colored urine,dark_urine
dark urines,dark_urine
dehydrated,dehydration
severely dehydrateds,dehydration
dry mouth and little urine,dehydration
dehydrateds,dehydration
dry mouth & little urine,dehydration
not enough fluids,dehydration
severely dehydrated,dehydration
very thirsty & dry,dehydration
very thirsty and dries,dehydration
fluid depletion,dehydration
very thirsty and dry,dehydration
fluid depletions,dehydration
depressed,depression
low moods,depression
feelin down,depression
depressive symptoms,depression
blue moods,depression
depresseds,depression
blue mood,depression
depressions,depression
low mood,depression
depression,depression
feelin sad,depression
very low moods,depression
diarrhoea,diarrhoea
passing watery stoolses,diarrhoea
loose motionses,diarrhoea
the runs,diarrhoea
loose stoolses,diarrhoea
diarrheas,diarrhoea
loose motions,diarrhoea
loose stools,diarrhoea
the runses,diarrhoea
watery stool,diarrhoea
watery stools,diarrhoea
frequent diarrheas,diarrhoea
dischromic patches,dischromic _patches
color change patcheses,dischromic _patches
colour change patcheses,dischromic _patches
hypopigmented patcheses,dischromic _patches
uneven skin patcheses,dischromic _patches
hyperpigmented patcheses,dischromic _patches
discoloured patches,dischromic _patches
uneven skin patches,dischromic _patches
dischromic patcheses,dischromic _patches
color change patches,dischromic _patches
hyperpigmented patches,dischromic _patches
hypopigmented patches,dischromic _patches
abdomen is distendeds,distention_of_abdomen
abdominal distension,distention_of_abdomen
stomach bloatings,distention_of_abdomen
distended abdomens,distention_of_abdomen
belly bloatin,distention_of_abdomen
bloatin of abdomen,distention_of_abdomen
bloating of abdomens,distention_of_abdomen
abdominal distensions,distention_of_abdomen
bloating of abdomen,distention_of_abdomen
abdominal swellings,distention_of_abdomen
belly bloatings,distention_of_abdomen
abdominal swelling,distention_of_abdomen
dizzinesses,dizziness
giddy,dizziness
feeling light headeds,dizziness
woozies,dizziness
light headed,dizziness
feelin light headed,dizziness
dizzy,dizziness
woozy,dizziness
feeling faints,dizziness
giddies,dizziness
feeling light headed,dizziness
feeling faint,dizziness
lip tingling,drying_and_tingling_lips
prickly lips,drying_and_tingling_lips
lip tinglings,drying_and_tingling_lips
numb tingling lipses,drying_and_tingling_lips
tinglin around lips,drying_and_tingling_lips
dry and tingling lips,drying_and_tingling_lips
tingly dry lipses,drying_and_tingling_lips
numb tingling lips,drying_and_tingling_lips
dry lips with tinglings,drying_and_tingling_lips
dry & tingling lips,drying_and_tingling_lips
lips feel numb and tingle,drying_and_tingling_lips
numb tinglin lips,drying_and_tingling_lips
enlarged thyroid,enlarged_thyroid
thyroid is enlarged,enlarged_thyroid
thyroid enlargements,enlarged_thyroid
swollen thyroid,enlarged_thyroid
big thyroids,enlarged_thyroid
swollen thyroids,enlarged_thyroid
enlarged thyroids,enlarged_thyroid
thyroid is enlargeds,enlarged_thyroid
thyroid enlargement,enlarged_thyroid
thyroid swellings,enlarged_thyroid
neck swelling thyroids,enlarged_thyroid
goiters,enlarged_thyroid
increased hungers,excessive_hunger
feeling ravenouses,excessive_hunger
excess appetites,excessive_hunger
feeling ravenous,excessive_hunger
excess appetite,excessive_hunger
always hungry,excessive_hunger
hungry all the time,excessive_hunger
increased hunger,excessive_hunger
constant hunger,excessive_hunger
excessive hungers,excessive_hunger
always hungries,excessive_hunger
very hungry,excessive_hunger
extra marital contactses,extra_marital_contacts
extramarital contact,extra_marital_contacts
unfaithful sexual contact,extra_marital_contacts
affair sexual contact,extra_marital_contacts
affair sexual contacts,extra_marital_contacts
sex outside marriage,extra_marital_contacts
unfaithful sexual contacts,extra_marital_contacts
extramarital sex,extra_marital_contacts
outside marriage sex,extra_marital_contacts
multiple partners outside marriages,extra_marital_contacts
extramarital sexes,extra_marital_contacts
extra marital contacts,extra_marital_contacts
family histories,family_history
family history of illness,family_history
positive family histories,family_history
hereditary history,family_history
family history positive,family_history
family medical histories,family_history
positive family history,family_history
runs in the family,family_history
genetic histories,family_history
family history of illnesses,family_history
family medical history,family_history
runs in the families,family_history
rapid heartbeats,fast_heart_rate
tachycardias,fast_heart_rate
rapid heart rate,fast_heart_rate
fast pulses,fast_heart_rate
heart racin,fast_heart_rate
racin heart,fast_heart_rate
heart racing,fast_heart_rate
tachycardia,fast_heart_rate
racing heart,fast_heart_rate
heart racings,fast_heart_rate
fast pulse,fast_heart_rate
fast heart rates,fast_heart_rate
feelin drained,fatigue
worn outs,fatigue
very tired,fatigue
fatigue,fatigue
tirednesses,fatigue
fatigueds,fatigue
tiredness,fatigue
very tireds,fatigue
low energies,fatigue
feeling drained,fatigue
feeling draineds,fatigue
fatigues,fatigue
water retentions,fluid_overload
too much fluids,fluid_overload
fluid overload,fluid_overload
overhydration,fluid_overload
overhydrations,fluid_overload
excess fluid in bodies,fluid_overload
fluid overloads,fluid_overload
excess fluid in body,fluid_overload
volume overload,fluid_overload
holding waters,fluid_overload
volume overloads,fluid_overload
too much fluid,fluid_overload
urine has foul smells,foul_smell_of urine
strong urine smell,foul_smell_of urine
urine has foul smell,foul_smell_of urine
foul smelling urines,foul_smell_of urine
urine smells bad,foul_smell_of urine
bad smell in urines,foul_smell_of urine
pee smells bad,foul_smell_of urine
urine odors,foul_smell_of urine
smelly urines,foul_smell_of urine
foul smelling urine,foul_smell_of urine
pee smells bads,foul_smell_of urine
foul smellin urine,foul_smell_of urine
throbbing head pain,headache
achin head,headache
pressure in heads,headache
pain in heads,headache
throbbin head pain,headache
head is hurtings,headache
head hurts,headache
headaches,headache
head is hurting,headache
head pain,headache
aching head,headache
head pains,headache
spikin fever,high_fever
burning up with fevers,high_fever
temperature is highs,high_fever
very high temperatures,high_fever
temperature is high,high_fever
burnin up with fever,high_fever
fever is high,high_fever
high temps,high_fever
feverish and hot,high_fever
feverish and hots,high_fever
spiking fever,high_fever
spiking fevers,high_fever
pain in hip joint,hip_joint_pain
sore hip joint,hip_joint_pain
hip aches,hip_joint_pain
hip hurtses,hip_joint_pain
hip ache,hip_joint_pain
pain in hip joints,hip_joint_pain
hip pain,hip_joint_pain
hip pains,hip_joint_pain
ache in hip,hip_joint_pain
hip joint pains,hip_joint_pain
hip joint pain,hip_joint_pain
painful hips,hip_joint_pain
alcohol intake history,history_of_alcohol_consumption
alcohol use history,history_of_alcohol_consumption
history of alcohol consumption,history_of_alcohol_consumption
alcohol consumption pasts,history_of_alcohol_consumption
history of alcohol consumptions,history_of_alcohol_consumption
alcohol consumption past,history_of_alcohol_consumption
regular drinking history,history_of_alcohol_consumption
used to drink alcohols,history_of_alcohol_consumption
alcohol intake histories,history_of_alcohol_consumption
used to drink alcohol,history_of_alcohol_consumption
drinks alcohol regularly,history_of_alcohol_consumption
regular drinking histories,history_of_alcohol_consumption
more appetite than usual,increased_appetite
feeling extra hungry,increased_appetite
always hungry latelies,increased_appetite
more appetite than usuals,increased_appetite
hungry more than usual,increased_appetite
increased desire to eat,increased_appetite
feelin extra hungry,increased_appetite
hungry more than usuals,increased_appetite
bigger appetites,increased_appetite
appetite increaseds,increased_appetite
feeling extra hungries,increased_appetite
increased appetite,increased_appetite
fullness after mealses,indigestion
dyspepsias,indigestion
upset stomaches,indigestion
trouble digestings,indigestion
acid indigestion,indigestion
stomach upset,indigestion
indigestions,indigestion
acid indigestions,indigestion
trouble digesting,indigestion
indigestion,indigestion
stomach upsets,indigestion
trouble digestin,indigestion
nails look inflamed,inflammatory_nails
nail inflammation,inflammatory_nails
inflamed nailses,inflammatory_nails
nails look inflameds,inflammatory_nails
inflammatory nails,inflammatory_nails
tender nail folds,inflammatory_nails
red swollen nails,inflammatory_nails
nail inflammations,inflammatory_nails
nails are inflamed,inflammatory_nails
red swollen nailses,inflammatory_nails
inflammation around nails,inflammatory_nails
inflammatory nailses,inflammatory_nails
itching withins,internal_itching
itching under the skins,internal_itching
itching within,internal_itching
itchin inside,internal_itching
internal itchings,internal_itching
itchin internally,internal_itching
itchin within,internal_itching
itching internallies,internal_itching
itching under the skin,internal_itching
itching internally,internal_itching
itching insides,internal_itching
internal itch,internal_itching
sugar keeps goin up and down,irregular_sugar_level
sugar level is irregular,irregular_sugar_level
sugar keeps going up and down,irregular_sugar_level
sugar keeps going up & down,irregular_sugar_level
unstable blood sugar,irregular_sugar_level
irregular blood sugars,irregular_sugar_level
fluctuating sugar levelses,irregular_sugar_level
highs and lows of sugar,irregular_sugar_level
blood glucose fluctuations,irregular_sugar_level
highs & lows of sugar,irregular_sugar_level
blood glucose fluctuationses,irregular_sugar_level
highs and lows of sugars,irregular_sugar_level
easily irritateds,irritability
cranky and irritable,irritability
gets irritated quicklies,irritability
short tempered,irritability
snappy mood,irritability
short tempereds,irritability
gets irritated quickly,irritability
snappy moods,irritability
irritable mood,irritability
irritability,irritability
irritable moods,irritability
cant tolerate things,irritability
burning around anus,irritation_in_anus
itching around anus,irritation_in_anus
anal irritation,irritation_in_anus
soreness around anuses,irritation_in_anus
irritation in anuses,irritation_in_anus
irritated anuses,irritation_in_anus
anal irritations,irritation_in_anus
soreness around anus,irritation_in_anus
itchy anus,irritation_in_anus
anal discomfort,irritation_in_anus
burnin around anus,irritation_in_anus
anal discomforts,irritation_in_anus
itchiness,itching
skin itches,itching
itchy skins,itching
itching,itching
itching all over,itching
scratching a lots,itching
scratching a lot,itching
scratchin a lot,itching
itching all overs,itching
skin itch,itching
itchings,itching
prurituses,itching
aching jointses,joint_pain
joints hurt,joint_pain
sore jointses,joint_pain
sore joints,joint_pain
joint ache,joint_pain
joint pain,joint_pain
painful jointses,joint_pain
joint aches,joint_pain
joints hurts,joint_pain
pain in jointses,joint_pain
pain in joints,joint_pain
joint pains,joint_pain
pain in knee,knee_pain
soreness in knees,knee_pain
sore knee,knee_pain
pain in knees,knee_pain
knee hurtses,knee_pain
knee aches,knee_pain
ache in knee,knee_pain
knee ache,knee_pain
painful knee,knee_pain
ache in knees,knee_pain
soreness in knee,knee_pain
sore knees,knee_pain
hard to concentrates,lack_of_concentration
cant focus,lack_of_concentration
cant focuses,lack_of_concentration
poor concentration,lack_of_concentration
trouble focusin,lack_of_concentration
attention problems,lack_of_concentration
hard to concentrate,lack_of_concentration
poor concentrations,lack_of_concentration
concentration issues,lack_of_concentration
difficulty concentratin,lack_of_concentration
difficulty concentrating,lack_of_concentration
trouble focusing,lack_of_concentration
very tired and slow,lethargy
no energies,lethargy
listless,lethargy
extreme tiredness,lethargy
no energy,lethargy
lethargies,lethargy
sluggishes,lethargy
very tired and slows,lethargy
lethargic,lethargy
very tired & slow,lethargy
extreme tirednesses,lethargy
sluggish,lethargy
no desire to eat,loss_of_appetite
poor appetite,loss_of_appetite
loss of appetite,loss_of_appetite
loss of appetites,loss_of_appetite
decreased appetite,loss_of_appetite
no desire to eats,loss_of_appetite
loss of hungers,loss_of_appetite
appetite loss,loss_of_appetite
not hungries,loss_of_appetite
appetite losses,loss_of_appetite
loss of hunger,loss_of_appetite
poor appetites,loss_of_appetite
off balances,loss_of_balance
unsteady on feets,loss_of_balance
losing balances,loss_of_balance
off balance,loss_of_balance
loss of balances,loss_of_balance
keep losin balance,loss_of_balance
imbalances,loss_of_balance
losing balance,loss_of_balance
balance problems,loss_of_balance
imbalance,loss_of_balance
loss of balance,loss_of_balance
poor balances,loss_of_balance
smell is gones,loss_of_smell
reduced sense of smells,loss_of_smell
smell losses,loss_of_smell
anosmias,loss_of_smell
no sense of smell,loss_of_smell
smelling ability losts,loss_of_smell
reduced sense of smell,loss_of_smell
anosmia,loss_of_smell
loss of smell,loss_of_smell
cant smell,loss_of_smell
cant smells,loss_of_smell
smell is gone,loss_of_smell
malaises,malaise
unwell overalls,malaise
not feeling well,malaise
general ill feelin,malaise
sick feelin,malaise
feeling ill,malaise
feelin unwell,malaise
feelin ill,malaise
feeling ills,malaise
not feeling wells,malaise
general weakness,malaise
general ill feeling,malaise
small fevers,mild_fever
slight fever,mild_fever
mild fevers,mild_fever
runnin a mild fever,mild_fever
slight fevers,mild_fever
running a mild fevers,mild_fever
mild fever,mild_fever
low grade fevers,mild_fever
low grade fever,mild_fever
low grade temperature,mild_fever
a bit feverishes,mild_fever
low-grade temperatures,mild_fever
emotional ups and downs,mood_swings
mood changeses,mood_swings
mood changes,mood_swings
rapid mood shifts,mood_swings
mood swingses,mood_swings
emotional swings,mood_swings
irritable mood swings,mood_swings
mood is all overs,mood_swings
frequent mood changeses,mood_swings
emotional ups & downs,mood_swings
emotional ups and downses,mood_swings
mood is all over,mood_swings
rigidity in movements,movement_stiffness
stiff motions,movement_stiffness
body feels stiffs,movement_stiffness
stiff motion,movement_stiffness
movement stiffnesses,movement_stiffness
stiffness in movements,movement_stiffness
movements are stiffs,movement_stiffness
movement stiffness,movement_stiffness
stiffness in movement,movement_stiffness
movements are stiff,movement_stiffness
stiff movementses,movement_stiffness
