term,label
rigidity in movement,movement_stiffness
thick mucus in coughs,mucoid_sputum
mucoid sputum,mucoid_sputum
thick mucus in cough,mucoid_sputum
phlegmy sputum,mucoid_sputum
thick phlegms,mucoid_sputum
mucous sputum,mucoid_sputum
mucus comin up,mucoid_sputum
mucous sputums,mucoid_sputum
thick phlegm,mucoid_sputum
mucus coming up,mucoid_sputum
mucus with cough,mucoid_sputum
mucus sputums,mucoid_sputum
pain in muscles,muscle_pain
aching muscleses,muscle_pain
muscles hurt,muscle_pain
muscles hurts,muscle_pain
muscle pains,muscle_pain
pain in muscleses,muscle_pain
muscle aches,muscle_pain
muscle ache,muscle_pain
myalgias,muscle_pain
myalgia,muscle_pain
aching muscles,muscle_pain
sore muscleses,muscle_pain
muscles shrinkings,muscle_wasting
wasting of muscleses,muscle_wasting
atrophy of muscleses,muscle_wasting
muscle atrophy,muscle_wasting
muscles shrinking,muscle_wasting
loss of muscle mass,muscle_wasting
thin muscles,muscle_wasting
muscle losses,muscle_wasting
loss of muscle masses,muscle_wasting
atrophy of muscles,muscle_wasting
wastin of muscles,muscle_wasting
muscle atrophies,muscle_wasting
muscle power is low,muscle_weakness
muscle weakness,muscle_weakness
weakness in muscles,muscle_weakness
weak muscles,muscle_weakness
loss of strength in muscles,muscle_weakness
reduced muscle strengths,muscle_weakness
loss of strength in muscleses,muscle_weakness
muscles are weak,muscle_weakness
muscle power is lows,muscle_weakness
weak muscleses,muscle_weakness
muscle weaknesses,muscle_weakness
muscles feel weak,muscle_weakness
feelin nauseous,nausea
nausea,nausea
sick to my stomach,nausea
nauseated,nausea
nauseas,nausea
upset stomach feeling,nausea
want to throw up,nausea
upset stomach feelings,nausea
sick to my stomaches,nausea
feeling nauseouses,nausea
want to throw ups,nausea
queasies,nausea
nauseateds,nausea
neck hurtses,neck_pain
neck aches,neck_pain
neck ache,neck_pain
sore neck,neck_pain
pain in necks,neck_pain
ache in necks,neck_pain
soreness in neck,neck_pain
painful neck,neck_pain
soreness in necks,neck_pain
neck hurts,neck_pain
neck pain,neck_pain
neck pains,neck_pain
skin nodules,nodal_skin_eruptions
nodular rash,nodal_skin_eruptions
nodular rashes,nodal_skin_eruptions
skin noduleses,nodal_skin_eruptions
skin bumps,nodal_skin_eruptions
lumpy skin lesions,nodal_skin_eruptions
lumpy skin lesionses,nodal_skin_eruptions
raised skin nodules,nodal_skin_eruptions
skin bumpses,nodal_skin_eruptions
nodal eruptions,nodal_skin_eruptions
nodules on skins,nodal_skin_eruptions
nodular skin eruptionses,nodal_skin_eruptions
overweights,obesity
high BMIs,obesity
carrying extra weights,obesity
high bmi,obesity
excess weight,obesity
too much weight,obesity
too much weights,obesity
obesities,obesity
obesity,obesity
very overweight,obesity
obeses,obesity
overweight,obesity
eyes hurt behinds,pain_behind_the_eyes
eyes hurt behind,pain_behind_the_eyes
pain behind my eye,pain_behind_the_eyes
pain behind the eyes,pain_behind_the_eyes
pain behind eyeses,pain_behind_the_eyes
retro orbital pains,pain_behind_the_eyes
eye socket pains,pain_behind_the_eyes
pain behind my eyes,pain_behind_the_eyes
pain behind eyes,pain_behind_the_eyes
ache behind eyes,pain_behind_the_eyes
pain behind the eye,pain_behind_the_eyes
eye socket pain,pain_behind_the_eyes
pain while defecatings,pain_during_bowel_movements
pain during bowel movements,pain_during_bowel_movements
pain while defecating,pain_during_bowel_movements
pain during bowel movementses,pain_during_bowel_movements
pain passing stool,pain_during_bowel_movements
pain on bowel movement,pain_during_bowel_movements
hurts to pass stools,pain_during_bowel_movements
pain passing stools,pain_during_bowel_movements
pain when poopings,pain_during_bowel_movements
stool passage is painful,pain_during_bowel_movements
stool passage is painfuls,pain_during_bowel_movements
pain when pooping,pain_during_bowel_movements
sore anuses,pain_in_anal_region
anal ache,pain_in_anal_region
pain in anal regions,pain_in_anal_region
painful anuses,pain_in_anal_region
anal pains,pain_in_anal_region
pain in anuses,pain_in_anal_region
anal pain,pain_in_anal_region
rectal pain,pain_in_anal_region
pain in anal region,pain_in_anal_region
anal aches,pain_in_anal_region
pain in anus,pain_in_anal_region
painful anus,pain_in_anal_region
hurts to walk,painful_walking
painful walking,painful_walking
pain when walking,painful_walking
pain with walkings,painful_walking
walking hurts,painful_walking
pain on walking,painful_walking
pain with walkin,painful_walking
pain when walkings,painful_walking
pain on walkings,painful_walking
pain on walkin,painful_walking
pain with walking,painful_walking
pain while walking,painful_walking
palpitationses,palpitations
heart thumping,palpitations
heart flutters,palpitations
fluttering heartbeat,palpitations
skipped beatses,palpitations
heart palpitationses,palpitations
heart thumpings,palpitations
rapid heartbeat feelings,palpitations
heart palpitations,palpitations
rapid heartbeat feeling,palpitations
palpitations,palpitations
heart flutterses,palpitations
too much gases,passage_of_gases
excess gas,passage_of_gases
fartings,passage_of_gases
excess gases,passage_of_gases
gas discharge,passage_of_gases
passing flatus,passage_of_gases
farting,passage_of_gases
gas discharges,passage_of_gases
too much gas,passage_of_gases
passing gases,passage_of_gases
gas passin,passage_of_gases
fartin,passage_of_gases
spots in throat,patches_in_throat
throat plaques,patches_in_throat
spots in throats,patches_in_throat
throat patcheses,patches_in_throat
throat white patcheses,patches_in_throat
patches in throat,patches_in_throat
throat plaqueses,patches_in_throat
throat spots,patches_in_throat
throat white patches,patches_in_throat
patches on throats,patches_in_throat
throat spotses,patches_in_throat
white patches in throat,patches_in_throat
sputum,phlegm
coughing up mucuses,phlegm
coughing up mucus,phlegm
chest mucus,phlegm
coughin up mucus,phlegm
mucus in throat,phlegm
mucuses,phlegm
phlegmy mucus,phlegm
phlegms,phlegm
thick mucus,phlegm
phlegmy mucuses,phlegm
phlegm,phlegm
frequent urination,polyuria
urinatin often,polyuria
passing urine often,polyuria
urinating often,polyuria
pee a lots,polyuria
urinate frequently,polyuria
urinate frequentlies,polyuria
peeing a lots,polyuria
passin urine often,polyuria
urinating oftens,polyuria
excess urinations,polyuria
pee a lot,polyuria
bulging veins on calfs,prominent_veins_on_calf
prominent veins on calfs,prominent_veins_on_calf
veins standing out on calf,prominent_veins_on_calf
veins popping on calf,prominent_veins_on_calf
veins standing out on calfs,prominent_veins_on_calf
visible calf veins,prominent_veins_on_calf
bulging veins on calf,prominent_veins_on_calf
bulgin veins on calf,prominent_veins_on_calf
varicose veins on calf,prominent_veins_on_calf
veins popping on calfs,prominent_veins_on_calf
engorged veins on calfs,prominent_veins_on_calf
veins poppin on calf,prominent_veins_on_calf
face puffed ups,puffy_face_and_eyes
swollen face and eyes,puffy_face_and_eyes
puffy face & eyes,puffy_face_and_eyes
face puffed up,puffy_face_and_eyes
puffy face,puffy_face_and_eyes
facial puffinesses,puffy_face_and_eyes
puffy eyes and face,puffy_face_and_eyes
face swelling with eye swellings,puffy_face_and_eyes
puffy faces,puffy_face_and_eyes
puffy eyes & face,puffy_face_and_eyes
puffy eyes and faces,puffy_face_and_eyes
puffy eyelidses,puffy_face_and_eyes
pimples with pus,pus_filled_pimples
zit with pus,pus_filled_pimples
pustules,pus_filled_pimples
pus pimples,pus_filled_pimples
pus filled pimples,pus_filled_pimples
infected pimples,pus_filled_pimples
zit with puses,pus_filled_pimples
pus filled pimpleses,pus_filled_pimples
pus filled acnes,pus_filled_pimples
pustuleses,pus_filled_pimples
infected pimpleses,pus_filled_pimples
whiteheads with pus,pus_filled_pimples
blood transfusion history,receiving_blood_transfusion
transfusion received,receiving_blood_transfusion
received transfusions,receiving_blood_transfusion
received blood transfusion,receiving_blood_transfusion
blood transfusion histories,receiving_blood_transfusion
got blood given,receiving_blood_transfusion
received transfusion,receiving_blood_transfusion
transfusion receiveds,receiving_blood_transfusion
had blood transfusions,receiving_blood_transfusion
history of blood transfusions,receiving_blood_transfusion
got a transfusion,receiving_blood_transfusion
received blood transfusions,receiving_blood_transfusion
non sterile injection,receiving_unsterile_injections
non sterile injections,receiving_unsterile_injections
unsafe injections,receiving_unsterile_injections
unhygienic injections,receiving_unsterile_injections
unsterile injections,receiving_unsterile_injections
received unsterile injections,receiving_unsterile_injections
unhygienic injection,receiving_unsterile_injections
unsterile injectionses,receiving_unsterile_injections
got a dirty needle,receiving_unsterile_injections
used needle injections,receiving_unsterile_injections
got a dirty needles,receiving_unsterile_injections
injection with unclean needles,receiving_unsterile_injections
red lesion around nose,red_sore_around_nose
redness sore by nose,red_sore_around_nose
painful red sore near noses,red_sore_around_nose
red sore around noses,red_sore_around_nose
redness sore by noses,red_sore_around_nose
sore by the nose,red_sore_around_nose
red sore at nose crease,red_sore_around_nose
sore around nostril,red_sore_around_nose
sore around nostrils,red_sore_around_nose
sore near nose,red_sore_around_nose
sore by the noses,red_sore_around_nose
sore near noses,red_sore_around_nose
red spots everywhere,red_spots_over_body
red spots all over,red_spots_over_body
body red spotses,red_spots_over_body
red spots over bodies,red_spots_over_body
red specks on bodies,red_spots_over_body
body red spots,red_spots_over_body
red spots over body,red_spots_over_body
rash with red spotses,red_spots_over_body
red pinpoint spots on bodies,red_spots_over_body
rash with red spots,red_spots_over_body
red dots all over bodies,red_spots_over_body
red spots everywheres,red_spots_over_body
eye rednesses,redness_of_eyes
redness of eyeses,redness_of_eyes
eyes look reds,redness_of_eyes
blood shot eyes,redness_of_eyes
eyes are red,redness_of_eyes
bloodshot eyeses,redness_of_eyes
red eyeses,redness_of_eyes
red eyes,redness_of_eyes
eyes are reds,redness_of_eyes
redness in eyeses,redness_of_eyes
redness in eyes,redness_of_eyes
blood shot eyeses,redness_of_eyes
feelin restless,restlessness
cant sit still,restlessness
fidgeties,restlessness
cant sit stills,restlessness
feeling restlesses,restlessness
very restlesses,restlessness
uneasy,restlessness
restless,restlessness
fidgety,restlessness
restlessnesses,restlessness
very restless,restlessness
uneasies,restlessness
nose is dripping,runny_nose
drippy noses,runny_nose
nose is drippings,runny_nose
nose is drippin,runny_nose
nasal discharges,runny_nose
nose is runnin,runny_nose
water from noses,runny_nose
nasal discharge,runny_nose
rhinorrheas,runny_nose
running noses,runny_nose
running nose,runny_nose
drippy nose,runny_nose
rust coloured phlegms,rusty_sputum
blood rust color sputums,rusty_sputum
brownish sputum,rusty_sputum
blood rust colour sputums,rusty_sputum
rusty sputum,rusty_sputum
blood rust colour sputum,rusty_sputum
rust colored phlegm,rusty_sputum
rust colored spit,rusty_sputum
blood rust color sputum,rusty_sputum
rust coloured spits,rusty_sputum
brownish sputums,rusty_sputum
rust coloured phlegm,rusty_sputum
skin scarring,scurring
crustin on skin,scurring
crusting on skin,scurring
scab formation,scurring
scarrings,scurring
scar tissue,scurring
healed scars,scurring
skin scarrings,scurring
crusty skins,scurring
scab formations,scurring
scarring,scurring
crusty skin,scurring
tremblin,shivering
body shaking,shivering
shivering,shivering
body shakings,shivering
body shakin,shivering
shaky with chills,shivering
rigors with shakings,shivering
trembling,shivering
shiverin a lot,shivering
shivering a lots,shivering
rigors with shaking,shivering
shivering a lot,shivering
fine silvery scaling,silver_like_dusting
silver coloured scaling,silver_like_dusting
silver dusting on skins,silver_like_dusting
silver dusting on skin,silver_like_dusting
silver dustin on skin,silver_like_dusting
fine silvery scalin,silver_like_dusting
silver colored scalin,silver_like_dusting
silver like dustings,silver_like_dusting
silvery flakeses,silver_like_dusting
silvery flakes,silver_like_dusting
silver like dustin,silver_like_dusting
silver colored scaling,silver_like_dusting
sinus pain pressures,sinus_pressure
pressure over cheeks,sinus_pressure
pressure in sinuses,sinus_pressure
pressure around nose and eyeses,sinus_pressure
pressure in faces,sinus_pressure
sinus congestion pressure,sinus_pressure
pressure over cheekses,sinus_pressure
sinus congestion pressures,sinus_pressure
sinus pain pressure,sinus_pressure
facial pressures,sinus_pressure
pressure around nose & eyes,sinus_pressure
facial pressure,sinus_pressure
peeling skin,skin_peeling
skin peeling,skin_peeling
skin shedding,skin_peeling
skin flakin,skin_peeling
skin peelin,skin_peeling
skin coming offs,skin_peeling
peelin skin,skin_peeling
skin is peeling,skin_peeling
skin flakings,skin_peeling
desquamations,skin_peeling
skin sheddings,skin_peeling
peel of skins,skin_peeling
itchy rashes,skin_rash
skin rash,skin_rash
rash on skin,skin_rash
skin rash all overs,skin_rash
rashes,skin_rash
skin breakout,skin_rash
skin eruption,skin_rash
skin eruptions,skin_rash
skin rashes,skin_rash
rash on skins,skin_rash
red rashes,skin_rash
itchy rash,skin_rash
slur speech,slurred_speech
hard to speak clearly,slurred_speech
talking is slurred,slurred_speech
slurred speeches,slurred_speech
talking is slurreds,slurred_speech
words are slurreds,slurred_speech
speech not clears,slurred_speech
slur speeches,slurred_speech
speech slurrin,slurred_speech
hard to speak clearlies,slurred_speech
slurry speech,slurred_speech
talkin is slurred,slurred_speech
small dents in nails,small_dents_in_nails
pitting in nailses,small_dents_in_nails
nail pitting,small_dents_in_nails
pitted nails,small_dents_in_nails
small dents in nailses,small_dents_in_nails
nail pittings,small_dents_in_nails
pinpoint pits in nails,small_dents_in_nails
pitting in nails,small_dents_in_nails
tiny pits on nailses,small_dents_in_nails
nail pittin,small_dents_in_nails
small nail pits,small_dents_in_nails
pittin in nails,small_dents_in_nails
room spinnin,spinning_movements
dizzy spinnings,spinning_movements
spins when i move,spinning_movements
everything spinning,spinning_movements
spinning sensations,spinning_movements
vertigo,spinning_movements
feel like spinnings,spinning_movements
room spinnings,spinning_movements
vertigos,spinning_movements
spinnin sensation,spinning_movements
spins when I moves,spinning_movements
room spinning,spinning_movements
spotting with urinations,spotting_ urination
spotting during urinations,spotting_ urination
spottin durin urination,spotting_ urination
urine spottin,spotting_ urination
blood spotting in urines,spotting_ urination
spotting at urinations,spotting_ urination
blood spotting in urine,spotting_ urination
spotting at urination,spotting_ urination
urine spottings,spotting_ urination
spottin with urination,spotting_ urination
spotting during urination,spotting_ urination
blood spottin in urine,spotting_ urination
tight necks,stiff_neck
stiffness of necks,stiff_neck
rigid necks,stiff_neck
neck feels stiff,stiff_neck
rigid neck,stiff_neck
neck is stiffs,stiff_neck
stiff neck,stiff_neck
stiffness of neck,stiff_neck
tight neck,stiff_neck
difficulty bending neck,stiff_neck
difficulty bendin neck,stiff_neck
neck is stiff,stiff_neck
blood from stomaches,stomach_bleeding
bleeding from stomach,stomach_bleeding
stomach hemorrhage,stomach_bleeding
stomach haemorrhage,stomach_bleeding
bleedin ulcer in stomach,stomach_bleeding
bleed in stomaches,stomach_bleeding
stomach bleedin,stomach_bleeding
bleeding from stomaches,stomach_bleeding
stomach bleedings,stomach_bleeding
stomach haemorrhages,stomach_bleeding
stomach hemorrhages,stomach_bleeding
gastric bleedin,stomach_bleeding
pain in stomaches,stomach_pain
pain in stomach,stomach_pain
stomach hurts,stomach_pain
stomach hurtses,stomach_pain
sore stomach,stomach_pain
ache in stomaches,stomach_pain
stomach ache,stomach_pain
stomach aches,stomach_pain
stomach pain,stomach_pain
ache in stomach,stomach_pain
eyes are sunkens,sunken_eyes
sunken eye looks,sunken_eyes
eyes look hollows,sunken_eyes
sunken eyeses,sunken_eyes
eyes sunk ins,sunken_eyes
hollow eyes,sunken_eyes
eyes look hollow,sunken_eyes
eyes look sunken,sunken_eyes
hollow eyeses,sunken_eyes
eyes sunk in,sunken_eyes
eyes look sunkens,sunken_eyes
eyes are sunken,sunken_eyes
perspirations,sweating
sweating a lots,sweating
sweating a lot,sweating
sweatses,sweating
sweating excessively,sweating
sweating,sweating
sweaty,sweating
sweating excessivelies,sweating
sweatings,sweating
sweating heavily,sweating
excess sweating,sweating
sweatin,sweating
glands are swollens,swelled_lymph_nodes
enlarged lymph nodeses,swelled_lymph_nodes
swollen lymph nodeses,swelled_lymph_nodes
glands are swollen,swelled_lymph_nodes
lumps in neck glandses,swelled_lymph_nodes
lumps in neck glands,swelled_lymph_nodes
lymph node swellin,swelled_lymph_nodes
swelled lymph nodes,swelled_lymph_nodes
swollen glandses,swelled_lymph_nodes
swollen lymph nodes,swelled_lymph_nodes
lymph node swellings,swelled_lymph_nodes
swelled lymph nodeses,swelled_lymph_nodes
joints are swollen,swelling_joints
swelling of jointses,swelling_joints
joint puffinesses,swelling_joints
swollen jointses,swelling_joints
swellin of joints,swelling_joints
joint puffiness,swelling_joints
swelling of joints,swelling_joints
joints are swollens,swelling_joints
joints look swollens,swelling_joints
swollen joints,swelling_joints
joint swellings,swelling_joints
joint swelling,swelling_joints
swollen bellies,swelling_of_stomach
bloating of stomaches,swelling_of_stomach
swollen stomach,swelling_of_stomach
belly swellin,swelling_of_stomach
stomach swellings,swelling_of_stomach
distended stomaches,swelling_of_stomach
stomach looks swollen,swelling_of_stomach
distended stomach,swelling_of_stomach
stomach swelling,swelling_of_stomach
stomach swellin,swelling_of_stomach
stomach looks swollens,swelling_of_stomach
swollen stomaches,swelling_of_stomach
veins are bulging,swollen_blood_vessels
bulging veinses,swollen_blood_vessels
bulging veins,swollen_blood_vessels
veins poppings,swollen_blood_vessels
engorged veinses,swollen_blood_vessels
swollen blood vessels,swollen_blood_vessels
inflamed blood vesselses,swollen_blood_vessels
prominent veins,swollen_blood_vessels
swollen blood vesselses,swollen_blood_vessels
veins look swollen,swollen_blood_vessels
veins look swollens,swollen_blood_vessels
prominent veinses,swollen_blood_vessels
limb swellin,swollen_extremeties
swollen hands and feets,swollen_extremeties
peripheral oedemas,swollen_extremeties
peripheral edema,swollen_extremeties
swellin in extremities,swollen_extremeties
swelling in extremitieses,swollen_extremeties
peripheral oedema,swollen_extremeties
limb swellings,swollen_extremeties
swelling in extremities,swollen_extremeties
swollen hands and feet,swollen_extremeties
extremities are swollens,swollen_extremeties
extremities are swollen,swollen_extremeties
legs look swollen,swollen_legs
leg swelling,swollen_legs
legs look swollens,swollen_legs
puffy legses,swollen_legs
leg oedemas,swollen_legs
leg swellin,swollen_legs
puffy legs,swollen_legs
leg oedema,swollen_legs
leg edemas,swollen_legs
swollen legses,swollen_legs
fluid in legs,swollen_legs
swelling in legs,swollen_legs
rough throat,throat_irritation
scratchy throat,throat_irritation
throat feels scratchy,throat_irritation
rough throats,throat_irritation
throat is irritateds,throat_irritation
irritated throats,throat_irritation
throat is irritated,throat_irritation
throat irritation,throat_irritation
throat feels scratchies,throat_irritation
irritated throat,throat_irritation
throat irritations,throat_irritation
scratchy throats,throat_irritation
sickly appearances,toxic_look_(typhos)
toxic look,toxic_look_(typhos)
toxic appearances,toxic_look_(typhos)
very ill appearances,toxic_look_(typhos)
ill lookings,toxic_look_(typhos)
toxic look typhos,toxic_look_(typhos)
sickly appearance,toxic_look_(typhos)
ill looking,toxic_look_(typhos)
typhoid like looks,toxic_look_(typhos)
appears very toxic,toxic_look_(typhos)
very ill appearance,toxic_look_(typhos)
ill lookin,toxic_look_(typhos)
tongue soreses,ulcers_on_tongue
tongue ulcer,ulcers_on_tongue
tongue sores,ulcers_on_tongue
sore on tongues,ulcers_on_tongue
ulcers on tongue,ulcers_on_tongue
canker on tongues,ulcers_on_tongue
ulcers on tongues,ulcers_on_tongue
painful ulcer on tongues,ulcers_on_tongue
mouth ulcer on tongues,ulcers_on_tongue
mouth ulcer on tongue,ulcers_on_tongue
canker on tongue,ulcers_on_tongue
painful ulcer on tongue,ulcers_on_tongue
ulcer,ulcers_on_tongue
ulcers,ulcers_on_tongue
walking is unsteady,unsteadiness
unsteadinesses,unsteadiness
feelin wobbly,unsteadiness
walking is unsteadies,unsteadiness
walk unsteadily,unsteadiness
unsteady,unsteadiness
walkin is unsteady,unsteadiness
unstable walkin,unsteadiness
wobbly on feets,unsteadiness
wobbly on feet,unsteadiness
unstable walking,unsteadiness
unsteadies,unsteadiness
trouble seeings,visual_disturbances
changes in visions,visual_disturbances
visual changes,visual_disturbances
visual problem,visual_disturbances
changes in vision,visual_disturbances
trouble seein,visual_disturbances
vision problems,visual_disturbances
vision disturbances,visual_disturbances
visual changeses,visual_disturbances
visual disturbanceses,visual_disturbances
visual problems,visual_disturbances
vision problemses,visual_disturbances
barfing,vomiting
sick ups,vomiting
pukin,vomiting
sick up,vomiting
vomitin,vomiting
vomiting,vomiting
throwing up,vomiting
retchin and vomitin,vomiting
vomit,vomiting
barfin,vomiting
vomits,vomiting
throwing ups,vomiting
excess tearses,watering_from_eyes
water coming from eyes,watering_from_eyes
tearing,watering_from_eyes
eyes watering,watering_from_eyes
water comin from eyes,watering_from_eyes
eyes keep watering,watering_from_eyes
lacrimation,watering_from_eyes
eyes waterin,watering_from_eyes
tearin,watering_from_eyes
eyes are watery,watering_from_eyes
eyes keep waterings,watering_from_eyes
eyes waterings,watering_from_eyes
weakness of limbs,weakness_in_limbs
weak arms and legses,weakness_in_limbs
arm and leg weaknesses,weakness_in_limbs
weakness in limbs,weakness_in_limbs
limbs feel weak,weakness_in_limbs
weakness in arms or legses,weakness_in_limbs
limbs are weak,weakness_in_limbs
arm & leg weakness,weakness_in_limbs
limbs feel weaks,weakness_in_limbs
weak arms and legs,weakness_in_limbs
weakness in arms or legs,weakness_in_limbs
limb weakness,weakness_in_limbs
one side of body weaks,weakness_of_one_body_side
one sided weakness,weakness_of_one_body_side
left side weakness,weakness_of_one_body_side
weakness of one body side,weakness_of_one_body_side
weakness on one sides,weakness_of_one_body_side
one side of body weak,weakness_of_one_body_side
right side weaknesses,weakness_of_one_body_side
weakness on one side,weakness_of_one_body_side
right side weakness,weakness_of_one_body_side
hemiparesis,weakness_of_one_body_side
one side feels weaks,weakness_of_one_body_side
weakness of one body sides,weakness_of_one_body_side
weight goin up,weight_gain
gained weights,weight_gain
added weights,weight_gain
increased weight,weight_gain
put on weight,weight_gain
put on weights,weight_gain
weight gains,weight_gain
weight gain,weight_gain
put weight ons,weight_gain
put weight on,weight_gain
getting heaviers,weight_gain
added weight,weight_gain
weight losses,weight_loss
weight goin down,weight_loss
unintended weight losses,weight_loss
losin weight,weight_loss
weight going downs,weight_loss
shed weight,weight_loss
weight dropping,weight_loss
losing weights,weight_loss
losing weight,weight_loss
lost weight,weight_loss
unintended weight loss,weight_loss
reduced weight,weight_loss
honey colored crusts,yellow_crust_ooze
yellow crusting with ooze,yellow_crust_ooze
honey colored crustses,yellow_crust_ooze
oozin yellow crusts,yellow_crust_ooze
yellowish crust oozing,yellow_crust_ooze
yellow ooze crustses,yellow_crust_ooze
oozing yellow crustses,yellow_crust_ooze
yellow crust discharges,yellow_crust_ooze
golden crust with oozes,yellow_crust_ooze
yellow crust ooze,yellow_crust_ooze
yellow ooze crusts,yellow_crust_ooze
golden crust with ooze,yellow_crust_ooze
yellow urine,yellow_urine
urine yellows,yellow_urine
urine looks yellows,yellow_urine
yellow colored urine,yellow_urine
yellow pees,yellow_urine
yellow colored urines,yellow_urine
yellow pee,yellow_urine
yellow urines,yellow_urine
deep yellow urine,yellow_urine
yellow coloured urines,yellow_urine
yellow eyeses,yellowing_of_eyes
scleral icteruses,yellowing_of_eyes
yellow color in eyeses,yellowing_of_eyes
eyes turned yellows,yellowing_of_eyes
eyes turned yellow,yellowing_of_eyes
yellow eyes,yellowing_of_eyes
jaundiced eyes,yellowing_of_eyes
eyes look yellows,yellowing_of_eyes
yellowing of eyes,yellowing_of_eyes
eyes look yellow,yellowing_of_eyes
yellow color in eyes,yellowing_of_eyes
yellow colour in eyeses,yellowing_of_eyes
yellow colourin of skin,yellowish_skin
yellowish skin,yellowish_skin
yellow colouring of skins,yellowish_skin
jaundices,yellowish_skin
yellow skins,yellowish_skin
skin is yellowishes,yellowish_skin
skin turned yellows,yellowish_skin
yellowish skins,yellowish_skin
skin is yellowish,yellowish_skin
skin turned yellow,yellowish_skin
yellow colouring of skin,yellowish_skin
skin looks yellow,yellowish_skin
